sport,kpi,side,window_label,window_n_seasons,n,skewness,kurtosis,sw_W,sw_p,sw_reject,lill_KS,lill_p,lill_reject,verdict
football,passes_in_final_third,diff,2023/2024+2024/2025,2,1114,0.297270183866714,3.94269304363698,0.989687150098333,4.74510495340752e-07,1,0.0431691417064874,0,1,NotNormal
football,successful_passes_in_final_third,home,2023/2024+2024/2025,2,1114,1.38292394070838,6.08911008690084,0.911619681188401,0,1,0.101039931434262,0,1,NotNormal
football,successful_passes_in_final_third,away,2023/2024+2024/2025,2,1114,1.30613079084848,6.25368214045914,0.926211461291808,0,1,0.0904725242658896,0,1,NotNormal
football,successful_passes_in_final_third,diff,2023/2024+2024/2025,2,1114,0.31087930610316,4.30600190410383,0.98549978648285,4.4749346450601e-09,1,0.0517737831659955,0,1,NotNormal
football,passes_in_middle_third,home,2023/2024+2024/2025,2,1114,0.712687137860318,3.79843439238438,0.971889154891029,7.01660951563099e-14,1,0.0478852028492192,0,1,NotNormal
football,passes_in_middle_third,away,2023/2024+2024/2025,2,1114,0.867204752835338,4.44155339075872,0.961220420321888,1.11022302462516e-16,1,0.072969927656242,0,1,NotNormal
football,passes_in_middle_third,diff,2023/2024+2024/2025,2,1114,-0.0500675643776357,3.28360872896427,0.998125482727011,0.254293670866239,0,0.0223519997545447,0.20609936055091,0,Normal
football,successful_passes_in_middle_third,home,2023/2024+2024/2025,2,1114,0.788799249666721,3.95051452598792,0.965303025700517,1.22124532708767e-15,1,0.0580950702521372,0,1,NotNormal
football,successful_passes_in_middle_third,away,2023/2024+2024/2025,2,1114,0.955752008639609,4.67759662240649,0.953115636190388,0,1,0.0779234771525354,0,1,NotNormal
football,successful_passes_in_middle_third,diff,2023/2024+2024/2025,2,1114,-0.0412888369739973,3.31927525060775,0.997885034731763,0.168220756207677,0,0.0186465177490643,0.47898599066044,0,Normal
football,passes_in_own_third,home,2023/2024+2024/2025,2,1114,0.730129159189774,3.87909825338729,0.970359875247422,2.57571741713036e-14,1,0.0589413649034815,0,1,NotNormal
football,passes_in_own_third,away,2023/2024+2024/2025,2,1114,0.406344444649864,2.96731740535541,0.987896185606451,5.78345655810608e-08,1,0.0437371185605635,0,1,NotNormal
football,passes_in_own_third,diff,2023/2024+2024/2025,2,1114,0.0897932329283161,3.08816361044407,0.998955867298977,0.786524737669744,0,0.0130158025181886,0.957,0,Normal
football,successful_passes_in_own_third,home,2023/2024+2024/2025,2,1114,0.572390431211681,3.54133956011703,0.978773420509794,1.06086250895032e-11,1,0.0495255084432226,0,1,NotNormal
football,successful_passes_in_own_third,away,2023/2024+2024/2025,2,1114,0.362387723457748,2.96901443037078,0.988842187197596,1.71816064264974e-07,1,0.0351469604693076,0.003,1,NotNormal
football,successful_passes_in_own_third,diff,2023/2024+2024/2025,2,1114,0.0173819314015121,2.95171170147395,0.998586689302611,0.516513549873189,0,0.0191319568005498,0.423886779426993,0,Normal
football,forward_passes,home,2023/2024+2024/2025,2,1114,0.210484513214172,3.09697492626254,0.995731909817881,0.00338859217444987,1,0.0319856149929189,0.011,1,NotNormal
football,forward_passes,away,2023/2024+2024/2025,2,1114,0.256765216445795,2.77195169084661,0.993388716937316,7.35085931320434e-05,1,0.0417028126291317,0,1,NotNormal
football,forward_passes,diff,2023/2024+2024/2025,2,1114,-0.163568526226378,3.29170807678207,0.997041132441663,0.0362182570106109,1,0.0329144238127807,0.007,1,NotNormal
football,sideways_passes,home,2023/2024+2024/2025,2,1114,0.348288197618713,2.78674253859539,0.98869682116408,1.44878346097777e-07,1,0.0397429169925724,0,1,NotNormal
football,sideways_passes,away,2023/2024+2024/2025,2,1114,0.515976386539328,3.11552091487572,0.980693335867309,5.18046716635467e-11,1,0.0644393848830432,0,1,NotNormal
football,sideways_passes,diff,2023/2024+2024/2025,2,1114,-0.0748745195999935,2.79970009810564,0.997932686772405,0.182854874688037,0,0.0276741073487905,0.031,1,Close
football,backward_passes,home,2023/2024+2024/2025,2,1114,0.577393271569187,3.55317624810064,0.981121380693794,7.47799600020471e-11,1,0.0559409555679101,0,1,NotNormal
football,backward_passes,away,2023/2024+2024/2025,2,1114,0.728557519012656,4.55185895993529,0.972676433489819,1.19126930542279e-13,1,0.0462854174146798,0,1,NotNormal
football,backward_passes,diff,2023/2024+2024/2025,2,1114,-0.0406131039305144,3.33703283518417,0.997720840171785,0.125651720763225,0,0.0178911040733827,0.544745762711864,0,Normal
football,forward_passes_in_final_third,home,2023/2024+2024/2025,2,1114,0.469116174752179,3.34759203467276,0.986729414192755,1.60927812187239e-08,1,0.0515129578025271,0,1,NotNormal
football,forward_passes_in_final_third,away,2023/2024+2024/2025,2,1114,0.296238972790001,3.09375267071641,0.993346264017099,6.89304435637084e-05,1,0.0469429685644873,0,1,NotNormal
football,forward_passes_in_final_third,diff,2023/2024+2024/2025,2,1114,0.158391106167577,2.98740043592348,0.996792764167668,0.0229209848106793,1,0.0299060209073326,0.02,1,Close
football,sideways_passes_in_final_third,home,2023/2024+2024/2025,2,1114,1.36523719799663,6.51414642933615,0.919408262405429,0,1,0.0860570548079763,0,1,NotNormal
football,sideways_passes_in_final_third,away,2023/2024+2024/2025,2,1114,1.11814760094799,5.45734712530582,0.943186149771744,0,1,0.0795923579492076,0,1,NotNormal
football,sideways_passes_in_final_third,diff,2023/2024+2024/2025,2,1114,0.324329969079268,4.28844372628903,0.986649810432669,1.47830038210728e-08,1,0.0445111852334081,0,1,NotNormal
football,backward_passes_in_final_third,home,2023/2024+2024/2025,2,1114,1.10480204599149,4.8780324385707,0.935762471553559,0,1,0.102768758595826,0,1,NotNormal
football,backward_passes_in_final_third,away,2023/2024+2024/2025,2,1114,1.18740658237541,6.01843329686892,0.936427787549075,0,1,0.0985522304196046,0,1,NotNormal
football,backward_passes_in_final_third,diff,2023/2024+2024/2025,2,1114,0.164081187896581,3.9931188724648,0.991403817776182,4.3123003742318e-06,1,0.0395790632389318,0.001,1,NotNormal
football,deep_completions,home,2023/2024+2024/2025,2,1114,1.0812348156789,4.91752186974774,0.92551396573686,0,1,0.13822287563898,0,1,NotNormal
football,deep_completions,away,2023/2024+2024/2025,2,1114,1.35125049745137,6.46988149263672,0.897559862911714,0,1,0.151655984908595,0,1,NotNormal
football,deep_completions,diff,2023/2024+2024/2025,2,1114,-0.032309236679111,4.41423567954729,0.982284415316357,2.08310257931998e-10,1,0.0743551388060252,0,1,NotNormal
