gene_id,correlation,kappa,pef,normal_var,tumor_var,diff_var,var_reduction,mean_normal,mean_early_neoplasia,mean_difference
VWA1,0.7510162695517134,1.7904584787309925,3.574676066776345,236.9368053515604,424.2255120651361,184.9572674742903,0.7202543723348328,72.67152273476191,86.91200485142856,14.24048211666667
PLXNB2,0.7601093786511766,1.5540388988626002,3.876113165672363,494.23704547017996,768.0635939195834,325.66145141709256,0.7420095964028602,116.08148161619049,127.05869839714285,10.97721678095238
FAM3D,-0.040784638668802095,0.34506642113286995,0.9656020613327138,213.5774557461315,73.69840828898151,297.509580332314,-0.035623306996476735,29.120050088333333,16.216596752238093,-12.903453336095238
CALR,0.8187734108869181,1.41110243334901,5.175557741799325,624.3623901686611,881.0392880586018,290.86752642506445,0.8067841090973239,88.98812004333334,88.6259144642857,-0.3622055790476209
ARHGAP40,0.1855607419988029,4.278821691322821,1.1701732824242503,65.72980179937906,281.2461017055329,296.51668579039955,0.14542571171314234,29.416932419523814,42.27428414857143,12.85735172904762
TSTA3,0.5847903560388098,1.6567406089119538,2.3075577623564825,174.2941638227223,288.7602191014568,200.66859884422016,0.5666414005694062,54.13548324333334,65.23541858714286,11.09993534380952
NDUFA11,0.5888644116540362,1.2861580949828215,2.405194364347368,344.4056161005382,442.96007110525323,327.36052390486833,0.5842331851333178,108.98848301857143,113.46863755047619,4.480154531904761
GABARAP,0.6482443626087689,0.5508628905474994,2.6348012317626597,459.96546543886075,253.37790584367676,270.738969863513,0.6204647288209257,59.48283157142857,55.59099242095238,-3.89183915047619
CNN2,0.7021700673441995,1.648171498210671,3.1329529147519852,279.00028256314573,459.8403137133005,235.82882232206646,0.6808123111932682,70.4123669352381,76.50895326904761,6.096586333809524
HAPLN3,0.5455433144196947,0.1714971112894944,1.627861534795776,367.36928366308086,63.00277092470922,264.3787849202928,0.3856971378554899,41.56345291761905,28.48451618619048,-13.078936731428572
PFDN5,0.7312940205009967,0.5009508092444432,3.222570194249923,1605.118450778217,804.0853868505349,747.6032149516952,0.6896886833421616,143.5793734061905,137.2011855204762,-6.378187885714288
POSTN,0.5337946362007955,0.6371528871647625,2.085589437996481,442.3005119019305,281.8130481527674,347.1985170534411,0.5205192442091341,34.405596762857144,30.853495617666663,-3.552101145190477
